target,fp type,fp size,"AUC Score (mean, std)","Best molecule (25, median, 75)","Top 10 average (25, median, 75)"
ESR2,exact,,"(0.973, 0.004)","(array([ -8.5,  -8.5,  -9.6, ..., -12.3, -12.3, -12.3], shape=(1001,)), array([ -8.5,  -8.5,  -9.9, ..., -12.3, -12.3, -12.3], shape=(1001,)), array([ -8.5,  -9.6, -10. , ..., -12.3, -12.3, -12.3], shape=(1001,)))","(array([ -8.5 ,  -8.5 ,  -8.61, ..., -11.83, -11.83, -11.83], shape=(1001,)), array([ -8.5 ,  -8.5 ,  -8.64, ..., -11.86, -11.86, -11.86], shape=(1001,)), array([ -8.5 ,  -8.61,  -8.65, ..., -11.94, -11.94, -11.94], shape=(1001,)))"
ESR2,compressed,1024.0,"(0.965, 0.015)","(array([ -8.5,  -8.5,  -8.5, ..., -12. , -12. , -12. ], shape=(1001,)), array([ -8.5,  -8.5,  -8.8, ..., -12. , -12. , -12. ], shape=(1001,)), array([ -8.5,  -8.5,  -9.4, ..., -12.3, -12.3, -12.3], shape=(1001,)))","(array([ -8.5 ,  -8.5 ,  -8.5 , ..., -11.77, -11.77, -11.77], shape=(1001,)), array([ -8.5 ,  -8.5 ,  -8.53, ..., -11.79, -11.79, -11.79], shape=(1001,)), array([ -8.5 ,  -8.5 ,  -8.63, ..., -11.83, -11.83, -11.83], shape=(1001,)))"
ESR2,compressed,2048.0,"(0.952, 0.013)","(array([ -8.5,  -8.5,  -9.2, ..., -12. , -12. , -12. ], shape=(1001,)), array([ -8.5,  -9.2,  -9.2, ..., -12. , -12. , -12. ], shape=(1001,)), array([ -8.5,  -9.6,  -9.6, ..., -12. , -12. , -12. ], shape=(1001,)))","(array([ -8.5 ,  -8.5 ,  -8.57, ..., -11.75, -11.75, -11.75], shape=(1001,)), array([ -8.5 ,  -8.57,  -8.6 , ..., -11.75, -11.75, -11.75], shape=(1001,)), array([ -8.5 ,  -8.61,  -8.66, ..., -11.76, -11.76, -11.76], shape=(1001,)))"
ESR2,sort&slice,1024.0,"(0.968, 0.013)","(array([ -8.5,  -8.5,  -9. , ..., -12. , -12. , -12. ], shape=(1001,)), array([ -8.5,  -8.5,  -9.5, ..., -12.3, -12.3, -12.3], shape=(1001,)), array([ -8.5,  -9. ,  -9.6, ..., -12.3, -12.3, -12.3], shape=(1001,)))","(array([ -8.5 ,  -8.5 ,  -8.55, ..., -11.76, -11.76, -11.76], shape=(1001,)), array([ -8.5 ,  -8.5 ,  -8.62, ..., -11.83, -11.83, -11.83], shape=(1001,)), array([ -8.5 ,  -8.55,  -8.63, ..., -11.98, -11.98, -11.98], shape=(1001,)))"
ESR2,sort&slice,2048.0,"(0.972, 0.006)","(array([ -8.5,  -8.5,  -9. , ..., -12. , -12. , -12. ], shape=(1001,)), array([ -8.5,  -8.5,  -9. , ..., -12.3, -12.3, -12.3], shape=(1001,)), array([ -8.5,  -9.4,  -9.4, ..., -12.3, -12.3, -12.3], shape=(1001,)))","(array([ -8.5 ,  -8.5 ,  -8.55, ..., -11.76, -11.76, -11.76], shape=(1001,)), array([ -8.5 ,  -8.5 ,  -8.55, ..., -11.78, -11.78, -11.78], shape=(1001,)), array([ -8.5 ,  -8.59,  -8.66, ..., -11.84, -11.84, -11.84], shape=(1001,)))"
F2,exact,,"(0.986, 0.004)","(array([ -9. , -10.2, -10.4, ..., -12.1, -12.1, -12.1], shape=(1001,)), array([ -9. , -10.4, -10.8, ..., -12.2, -12.2, -12.2], shape=(1001,)), array([ -9. , -10.8, -11.1, ..., -12.2, -12.2, -12.2], shape=(1001,)))","(array([ -9.  ,  -9.12,  -9.23, ..., -11.96, -11.96, -11.96], shape=(1001,)), array([ -9.  ,  -9.14,  -9.3 , ..., -11.97, -11.97, -11.97], shape=(1001,)), array([ -9.  ,  -9.18,  -9.33, ..., -11.98, -11.98, -11.98], shape=(1001,)))"
F2,compressed,1024.0,"(0.989, 0.004)","(array([ -9. ,  -9.7,  -9.9, ..., -12.1, -12.1, -12.1], shape=(1001,)), array([ -9. ,  -9.9, -10. , ..., -12.2, -12.2, -12.2], shape=(1001,)), array([ -9. ,  -9.9, -10.1, ..., -12.2, -12.2, -12.2], shape=(1001,)))","(array([ -9.  ,  -9.07,  -9.15, ..., -11.92, -11.92, -11.92], shape=(1001,)), array([ -9.  ,  -9.09,  -9.17, ..., -11.93, -11.93, -11.93], shape=(1001,)), array([ -9.  ,  -9.09,  -9.17, ..., -11.94, -11.94, -11.94], shape=(1001,)))"
F2,compressed,2048.0,"(0.989, 0.004)","(array([ -9. ,  -9.7, -10. , ..., -12.2, -12.2, -12.2], shape=(1001,)), array([ -9. , -10.3, -10.3, ..., -12.2, -12.2, -12.2], shape=(1001,)), array([ -9. , -10.3, -10.8, ..., -12.2, -12.2, -12.2], shape=(1001,)))","(array([ -9.  ,  -9.07,  -9.17, ..., -11.93, -11.93, -11.93], shape=(1001,)), array([ -9.  ,  -9.13,  -9.25, ..., -11.93, -11.93, -11.93], shape=(1001,)), array([ -9.  ,  -9.13,  -9.3 , ..., -11.93, -11.93, -11.93], shape=(1001,)))"
F2,sort&slice,1024.0,"(0.983, 0.005)","(array([ -9. ,  -9.9, -10.5, ..., -12.1, -12.1, -12.1], shape=(1001,)), array([ -9. , -10.5, -10.6, ..., -12.1, -12.1, -12.1], shape=(1001,)), array([ -9. , -10.9, -10.9, ..., -12.2, -12.2, -12.2], shape=(1001,)))","(array([ -9.  ,  -9.09,  -9.22, ..., -11.91, -11.91, -11.91], shape=(1001,)), array([ -9.  ,  -9.15,  -9.23, ..., -11.93, -11.93, -11.93], shape=(1001,)), array([ -9.  ,  -9.19,  -9.25, ..., -11.94, -11.94, -11.94], shape=(1001,)))"
F2,sort&slice,2048.0,"(0.988, 0.004)","(array([ -9. ,  -9.9, -10.5, ..., -12.2, -12.2, -12.2], shape=(1001,)), array([ -9. , -10. , -10.5, ..., -12.2, -12.2, -12.2], shape=(1001,)), array([ -9. , -10.5, -10.6, ..., -12.2, -12.2, -12.2], shape=(1001,)))","(array([ -9.  ,  -9.09,  -9.19, ..., -11.96, -11.96, -11.96], shape=(1001,)), array([ -9.  ,  -9.1 ,  -9.22, ..., -11.96, -11.96, -11.96], shape=(1001,)), array([ -9.  ,  -9.15,  -9.23, ..., -11.96, -11.96, -11.96], shape=(1001,)))"
