pair_idx,fp_size,num_collisions,tanimoto_exact,tanimoto_compressed,tanimoto_compressed_difference
0,512,3,0.2137,0.2422,0.0284
0,1024,1,0.2137,0.2231,0.0093
0,2048,0,0.2137,0.2137,0.0000
0,4096,0,0.2137,0.2137,0.0000
1,512,2,0.2130,0.2243,0.0113
1,1024,2,0.2130,0.2243,0.0113
1,2048,2,0.2130,0.2243,0.0113
1,4096,0,0.2130,0.2130,0.0000
2,512,3,0.0992,0.1250,0.0258
2,1024,0,0.0992,0.0992,0.0000
2,2048,0,0.0992,0.0992,0.0000
2,4096,0,0.0992,0.0992,0.0000
3,512,5,0.0867,0.1190,0.0323
3,1024,4,0.0867,0.1124,0.0257
3,2048,3,0.0867,0.1059,0.0192
3,4096,2,0.0867,0.0994,0.0127
4,512,7,0.1556,0.2093,0.0537
4,1024,3,0.1556,0.1818,0.0263
4,2048,0,0.1556,0.1556,0.0000
4,4096,0,0.1556,0.1556,0.0000
5,512,5,0.1842,0.2162,0.0320
5,1024,0,0.1842,0.1842,0.0000
5,2048,0,0.1842,0.1842,0.0000
5,4096,0,0.1842,0.1842,0.0000
6,512,8,0.1534,0.1975,0.0441
6,1024,5,0.1534,0.1824,0.0290
6,2048,4,0.1534,0.1750,0.0216
6,4096,3,0.1534,0.1750,0.0216
7,512,2,0.1544,0.1716,0.0172
7,1024,0,0.1544,0.1544,0.0000
7,2048,0,0.1544,0.1544,0.0000
7,4096,0,0.1544,0.1544,0.0000
8,512,9,0.1176,0.1547,0.0370
8,1024,5,0.1176,0.1421,0.0244
8,2048,3,0.1176,0.1297,0.0121
8,4096,0,0.1176,0.1176,0.0000
9,512,4,0.1806,0.2143,0.0337
9,1024,2,0.1806,0.1972,0.0166
9,2048,0,0.1806,0.1806,0.0000
9,4096,0,0.1806,0.1806,0.0000
10,512,2,0.1582,0.1731,0.0148
10,1024,2,0.1582,0.1731,0.0148
10,2048,1,0.1582,0.1656,0.0074
10,4096,0,0.1582,0.1582,0.0000
11,512,5,0.2153,0.2590,0.0437
11,1024,1,0.2153,0.2238,0.0085
11,2048,1,0.2153,0.2238,0.0085
11,4096,1,0.2153,0.2238,0.0085
12,512,2,0.2059,0.2148,0.0089
12,1024,1,0.2059,0.2059,0.0000
12,2048,0,0.2059,0.2059,0.0000
12,4096,0,0.2059,0.2059,0.0000
13,512,6,0.1679,0.2143,0.0463
13,1024,3,0.1679,0.1953,0.0274
13,2048,1,0.1679,0.1769,0.0090
13,4096,0,0.1679,0.1679,0.0000
14,512,1,0.1935,0.2033,0.0097
14,1024,0,0.1935,0.1935,0.0000
14,2048,0,0.1935,0.1935,0.0000
14,4096,0,0.1935,0.1935,0.0000
15,512,3,0.0383,0.0556,0.0173
15,1024,1,0.0383,0.0440,0.0057
15,2048,1,0.0383,0.0440,0.0057
15,4096,0,0.0383,0.0383,0.0000
16,512,4,0.2033,0.2333,0.0301
16,1024,1,0.2033,0.2033,0.0000
16,2048,0,0.2033,0.2033,0.0000
16,4096,0,0.2033,0.2033,0.0000
17,512,9,0.1566,0.2152,0.0586
17,1024,4,0.1566,0.1779,0.0213
17,2048,3,0.1566,0.1707,0.0141
17,4096,0,0.1566,0.1566,0.0000
18,512,1,0.2562,0.2667,0.0105
18,1024,0,0.2562,0.2562,0.0000
18,2048,0,0.2562,0.2562,0.0000
18,4096,0,0.2562,0.2562,0.0000
19,512,2,0.1677,0.1753,0.0076
19,1024,1,0.1677,0.1677,0.0000
19,2048,1,0.1677,0.1677,0.0000
19,4096,0,0.1677,0.1677,0.0000
20,512,8,0.1286,0.1791,0.0505
20,1024,1,0.1286,0.1449,0.0164
20,2048,1,0.1286,0.1449,0.0164
20,4096,0,0.1286,0.1286,0.0000
21,512,5,0.2191,0.2400,0.0209
21,1024,1,0.2191,0.2260,0.0069
21,2048,0,0.2191,0.2191,0.0000
21,4096,0,0.2191,0.2191,0.0000
22,512,4,0.1441,0.1759,0.0318
22,1024,1,0.1441,0.1545,0.0104
22,2048,0,0.1441,0.1441,0.0000
22,4096,0,0.1441,0.1441,0.0000
23,512,3,0.1942,0.2117,0.0174
23,1024,1,0.1942,0.2029,0.0087
23,2048,0,0.1942,0.1942,0.0000
23,4096,0,0.1942,0.1942,0.0000
24,512,8,0.2553,0.3111,0.0558
24,1024,3,0.2553,0.2826,0.0273
24,2048,2,0.2553,0.2734,0.0181
24,4096,0,0.2553,0.2553,0.0000
25,512,4,0.2353,0.2963,0.0610
25,1024,1,0.2353,0.2500,0.0147
25,2048,0,0.2353,0.2353,0.0000
25,4096,0,0.2353,0.2353,0.0000
26,512,2,0.2353,0.2564,0.0211
26,1024,1,0.2353,0.2458,0.0105
26,2048,1,0.2353,0.2458,0.0105
26,4096,1,0.2353,0.2458,0.0105
27,512,1,0.1157,0.1157,0.0000
27,1024,1,0.1157,0.1157,0.0000
27,2048,0,0.1157,0.1157,0.0000
27,4096,0,0.1157,0.1157,0.0000
28,512,3,0.1522,0.1691,0.0169
28,1024,2,0.1522,0.1606,0.0084
28,2048,1,0.1522,0.1522,0.0000
28,4096,0,0.1522,0.1522,0.0000
29,512,5,0.1849,0.2270,0.0420
29,1024,2,0.1849,0.2014,0.0165
29,2048,1,0.1849,0.1931,0.0082
29,4096,1,0.1849,0.1931,0.0082
30,512,4,0.1339,0.1651,0.0312
30,1024,4,0.1339,0.1651,0.0312
30,2048,2,0.1339,0.1441,0.0102
30,4096,2,0.1339,0.1441,0.0102
31,512,8,0.0671,0.1119,0.0448
31,1024,4,0.0671,0.0890,0.0219
31,2048,3,0.0671,0.0816,0.0145
31,4096,1,0.0671,0.0671,0.0000
32,512,3,0.1037,0.1288,0.0251
32,1024,2,0.1037,0.1203,0.0166
32,2048,1,0.1037,0.1119,0.0082
32,4096,1,0.1037,0.1119,0.0082
33,512,4,0.1214,0.1544,0.0330
33,1024,2,0.1214,0.1377,0.0163
33,2048,1,0.1214,0.1295,0.0081
33,4096,1,0.1214,0.1295,0.0081
34,512,4,0.1857,0.2117,0.0260
34,1024,2,0.1857,0.1942,0.0085
34,2048,1,0.1857,0.1857,0.0000
34,4096,0,0.1857,0.1857,0.0000
35,512,6,0.1718,0.2089,0.0371
35,1024,3,0.1718,0.1938,0.0220
35,2048,2,0.1718,0.1863,0.0146
35,4096,1,0.1718,0.1790,0.0072
36,512,6,0.0936,0.1131,0.0195
36,1024,2,0.0936,0.0936,0.0000
36,2048,1,0.0936,0.0936,0.0000
36,4096,0,0.0936,0.0936,0.0000
37,512,5,0.1022,0.1439,0.0417
37,1024,2,0.1022,0.1185,0.0163
37,2048,2,0.1022,0.1185,0.0163
37,4096,1,0.1022,0.1103,0.0081
38,512,2,0.2414,0.2632,0.0218
38,1024,1,0.2414,0.2522,0.0108
38,2048,0,0.2414,0.2414,0.0000
38,4096,0,0.2414,0.2414,0.0000
39,512,11,0.1699,0.2260,0.0561
39,1024,7,0.1699,0.2013,0.0314
39,2048,3,0.1699,0.1854,0.0155
39,4096,1,0.1699,0.1699,0.0000
40,512,7,0.1298,0.1746,0.0448
40,1024,4,0.1298,0.1562,0.0265
40,2048,2,0.1298,0.1473,0.0175
40,4096,0,0.1298,0.1298,0.0000
41,512,6,0.1415,0.1863,0.0448
41,1024,2,0.1415,0.1524,0.0109
41,2048,1,0.1415,0.1415,0.0000
41,4096,0,0.1415,0.1415,0.0000
42,512,5,0.1524,0.1667,0.0142
42,1024,4,0.1524,0.1667,0.0142
42,2048,2,0.1524,0.1595,0.0071
