target,fp type,fp size,optimized params,"R2 (mean, std)","MSE (mean, std)","MAE (mean, std)"
ESR2,exact,,False,"(0.533, 0.004)","(0.363, 0.003)","(0.46, 0.002)"
ESR2,exact,,True,"(0.553, 0.003)","(0.348, 0.002)","(0.449, 0.002)"
ESR2,compressed,512.0,False,"(0.491, 0.003)","(0.397, 0.003)","(0.481, 0.002)"
ESR2,compressed,512.0,True,"(0.515, 0.003)","(0.378, 0.002)","(0.469, 0.001)"
ESR2,compressed,1024.0,False,"(0.498, 0.004)","(0.391, 0.003)","(0.478, 0.002)"
ESR2,compressed,1024.0,True,"(0.525, 0.003)","(0.37, 0.002)","(0.465, 0.001)"
ESR2,compressed,2048.0,False,"(0.5, 0.003)","(0.389, 0.003)","(0.478, 0.002)"
ESR2,compressed,2048.0,True,"(0.532, 0.003)","(0.364, 0.002)","(0.461, 0.001)"
ESR2,compressed,4096.0,False,"(0.507, 0.004)","(0.384, 0.003)","(0.474, 0.002)"
ESR2,compressed,4096.0,True,"(0.54, 0.003)","(0.358, 0.002)","(0.457, 0.002)"
ESR2,sortslice,512.0,False,"(0.49, 0.004)","(0.397, 0.003)","(0.482, 0.002)"
ESR2,sortslice,512.0,True,"(0.541, 0.003)","(0.357, 0.002)","(0.456, 0.002)"
ESR2,sortslice,1024.0,False,"(0.501, 0.005)","(0.389, 0.004)","(0.477, 0.003)"
ESR2,sortslice,1024.0,True,"(0.543, 0.003)","(0.356, 0.003)","(0.455, 0.002)"
ESR2,sortslice,2048.0,False,"(0.506, 0.005)","(0.385, 0.004)","(0.475, 0.003)"
ESR2,sortslice,2048.0,True,"(0.543, 0.004)","(0.355, 0.003)","(0.455, 0.002)"
ESR2,sortslice,4096.0,False,"(0.511, 0.005)","(0.381, 0.004)","(0.472, 0.003)"
ESR2,sortslice,4096.0,True,"(0.545, 0.004)","(0.354, 0.003)","(0.454, 0.002)"
F2,exact,,False,"(0.832, 0.003)","(0.174, 0.003)","(0.319, 0.002)"
F2,exact,,True,"(0.848, 0.002)","(0.156, 0.002)","(0.305, 0.002)"
F2,compressed,512.0,False,"(0.815, 0.003)","(0.191, 0.003)","(0.336, 0.002)"
F2,compressed,512.0,True,"(0.83, 0.002)","(0.176, 0.002)","(0.325, 0.002)"
F2,compressed,1024.0,False,"(0.818, 0.003)","(0.188, 0.003)","(0.333, 0.002)"
F2,compressed,1024.0,True,"(0.834, 0.001)","(0.171, 0.002)","(0.32, 0.001)"
F2,compressed,2048.0,False,"(0.821, 0.003)","(0.185, 0.003)","(0.33, 0.002)"
F2,compressed,2048.0,True,"(0.838, 0.002)","(0.167, 0.002)","(0.316, 0.002)"
F2,compressed,4096.0,False,"(0.824, 0.003)","(0.182, 0.003)","(0.327, 0.003)"
F2,compressed,4096.0,True,"(0.842, 0.002)","(0.163, 0.002)","(0.311, 0.002)"
F2,sortslice,512.0,False,"(0.823, 0.003)","(0.182, 0.003)","(0.329, 0.002)"
F2,sortslice,512.0,True,"(0.843, 0.002)","(0.162, 0.002)","(0.311, 0.002)"
F2,sortslice,1024.0,False,"(0.826, 0.002)","(0.18, 0.003)","(0.327, 0.002)"
F2,sortslice,1024.0,True,"(0.845, 0.001)","(0.16, 0.001)","(0.309, 0.001)"
F2,sortslice,2048.0,False,"(0.827, 0.002)","(0.179, 0.003)","(0.325, 0.002)"
F2,sortslice,2048.0,True,"(0.846, 0.001)","(0.159, 0.001)","(0.308, 0.002)"
F2,sortslice,4096.0,False,"(0.828, 0.003)","(0.177, 0.003)","(0.324, 0.002)"
