Target,Comparison,Mean Diff,p-value,Significant
ESR2,exact vs sortslice4096,-0.022,0.0,Yes
ESR2,exact vs compressed4096,-0.0262,0.0,Yes
ESR2,exact vs sortslice2048,-0.0276,0.0,Yes
ESR2,exact vs sortslice1024,-0.0327,0.0,Yes
ESR2,exact vs compressed2048,-0.0332,0.0,Yes
ESR2,exact vs compressed1024,-0.0356,0.0,Yes
ESR2,exact vs compressed512,-0.0425,0.0,Yes
ESR2,exact vs sortslice512,-0.0428,0.0,Yes
F2,exact vs sortslice4096,-0.0031,0.3096,No
F2,exact vs sortslice2048,-0.0046,0.0222,Yes
F2,exact vs sortslice1024,-0.0059,0.0007,Yes
F2,exact vs compressed4096,-0.0081,0.0,Yes
F2,exact vs sortslice512,-0.0083,0.0,Yes
F2,exact vs compressed2048,-0.0109,0.0,Yes
F2,exact vs compressed1024,-0.0136,0.0,Yes
F2,exact vs compressed512,-0.0163,0.0,Yes
KIT,exact vs sortslice4096,-0.0057,0.0018,Yes
KIT,exact vs sortslice2048,-0.0135,0.0,Yes
KIT,exact vs compressed4096,-0.0204,0.0,Yes
KIT,exact vs sortslice1024,-0.0224,0.0,Yes
KIT,exact vs compressed2048,-0.0331,0.0,Yes
KIT,exact vs sortslice512,-0.0379,0.0,Yes
KIT,exact vs compressed1024,-0.0442,0.0,Yes
KIT,exact vs compressed512,-0.057,0.0,Yes
PARP1,exact vs sortslice4096,-0.0004,0.9997,No
PARP1,exact vs sortslice2048,-0.0007,0.9793,No
PARP1,exact vs sortslice1024,-0.0022,0.0439,Yes
PARP1,exact vs sortslice512,-0.0037,0.0,Yes
PARP1,exact vs compressed4096,-0.0065,0.0,Yes
PARP1,exact vs compressed2048,-0.0094,0.0,Yes
PARP1,exact vs compressed1024,-0.0115,0.0,Yes
PARP1,exact vs compressed512,-0.0148,0.0,Yes
PGR,exact vs sortslice4096,-0.0013,0.9997,No
PGR,exact vs sortslice2048,-0.0022,0.9888,No
PGR,exact vs sortslice1024,-0.0042,0.6604,No
PGR,exact vs sortslice512,-0.0088,0.0076,Yes
PGR,exact vs compressed4096,-0.0217,0.0,Yes
PGR,exact vs compressed512,-0.0256,0.0,Yes
PGR,exact vs compressed1024,-0.0271,0.0,Yes
PGR,exact vs compressed2048,-0.0281,0.0,Yes
