Target,Comparison,Mean Diff,p-value,Significant
ESR2,exact vs sortslice4096,-0.0079,0.0,Yes
ESR2,exact vs sortslice2048,-0.0099,0.0,Yes
ESR2,exact vs sortslice1024,-0.0103,0.0,Yes
ESR2,exact vs sortslice512,-0.0124,0.0,Yes
ESR2,exact vs compressed4096,-0.0137,0.0,Yes
ESR2,exact vs compressed2048,-0.0208,0.0,Yes
ESR2,exact vs compressed1024,-0.0287,0.0,Yes
ESR2,exact vs compressed512,-0.0388,0.0,Yes
F2,exact vs sortslice4096,-0.0005,0.9987,No
F2,exact vs sortslice2048,-0.0021,0.1482,No
F2,exact vs sortslice1024,-0.0033,0.0012,Yes
F2,exact vs sortslice512,-0.0053,0.0,Yes
F2,exact vs compressed4096,-0.006,0.0,Yes
F2,exact vs compressed2048,-0.0101,0.0,Yes
F2,exact vs compressed1024,-0.0143,0.0,Yes
F2,exact vs compressed512,-0.0187,0.0,Yes
KIT,exact vs sortslice4096,-0.0058,0.0002,Yes
KIT,exact vs sortslice2048,-0.0112,0.0,Yes
KIT,exact vs compressed4096,-0.0174,0.0,Yes
KIT,exact vs sortslice1024,-0.0177,0.0,Yes
KIT,exact vs sortslice512,-0.0292,0.0,Yes
KIT,exact vs compressed2048,-0.03,0.0,Yes
KIT,exact vs compressed1024,-0.0426,0.0,Yes
KIT,exact vs compressed512,-0.0579,0.0,Yes
PARP1,exact vs sortslice4096,-0.0002,0.9999,No
PARP1,exact vs sortslice2048,-0.0011,0.0764,No
PARP1,exact vs sortslice1024,-0.0027,0.0,Yes
PARP1,exact vs sortslice512,-0.0043,0.0,Yes
PARP1,exact vs compressed4096,-0.006,0.0,Yes
PARP1,exact vs compressed2048,-0.01,0.0,Yes
PARP1,exact vs compressed1024,-0.013,0.0,Yes
PARP1,exact vs compressed512,-0.0176,0.0,Yes
PGR,exact vs sortslice512,0.0099,0.0,Yes
PGR,exact vs sortslice1024,0.0076,0.0003,Yes
PGR,exact vs sortslice2048,0.0052,0.04,Yes
PGR,exact vs sortslice4096,0.0037,0.3368,No
PGR,exact vs compressed4096,-0.0133,0.0,Yes
PGR,exact vs compressed2048,-0.0215,0.0,Yes
PGR,exact vs compressed1024,-0.0265,0.0,Yes
PGR,exact vs compressed512,-0.0267,0.0,Yes
